Backgrounds/background.png 1
Wall 0 0
Wall 32 0
Wall 64 0
Wall 96 0
Wall 128 0
Wall 160 0
Wall 192 0
Wall 224 0
Wall 256 0
Wall 288 0
Wall 320 0
Wall 352 0
Wall 384 0
Wall 416 0
Wall 448 0
Wall 448 32
Wall 448 64
Wall 448 96
Wall 448 128
Wall 448 160
Wall 448 192
Wall 448 224
Wall 448 256
Wall 448 288
Wall 448 320
Wall 448 352
Wall 448 384
Wall 448 416
Wall 448 448
Wall 416 448
Wall 384 448
Wall 352 448
Wall 320 448
Wall 288 448
Wall 256 448
Wall 224 448
Wall 192 448
Wall 160 448
Wall 128 448
Wall 96 448
Wall 64 448
Wall 32 448
Wall 0 448
Wall 0 416
Wall 0 384
Wall 0 352
Wall 0 320
Wall 0 288
Wall 0 256
Wall 0 224
Wall 0 192
Wall 0 160
Wall 0 128
Wall 0 96
Wall 0 64
Wall 0 32
Wall 64 32
Wall 64 64
Wall 64 96
Wall 64 128
Wall 64 160
Wall 64 224
Wall 64 256
Wall 64 288
Wall 64 320
Wall 64 352
Wall 64 384
Wall 64 416
Wall 96 160
Wall 96 224
Wall 96 384
Wall 128 32
Wall 128 64
Wall 128 96
Wall 128 160
Wall 128 288
Wall 128 320
Wall 128 384
Wall 160 160
Wall 160 224
Wall 192 32
Wall 192 64
Wall 192 96
Wall 192 160
Wall 192 224
Wall 192 256
Wall 192 288
Wall 192 320
Wall 192 352
Wall 192 384
Wall 224 64
Wall 224 160
Wall 224 384
Wall 256 64
Wall 256 128
Wall 256 160
Wall 256 192
Wall 256 224
Wall 256 256
Wall 256 288
Wall 256 320
Wall 256 352
Wall 256 384
Wall 288 64
Wall 320 64
Wall 320 96
Wall 320 160
Wall 320 224
Wall 320 256
Wall 320 320
Wall 320 352
Wall 352 64
Wall 352 160
Wall 352 352
Wall 352 384
Wall 352 416
Wall 384 64
Wall 384 96
Wall 384 128
Wall 384 160
Wall 384 224
Wall 384 288
Wall 384 384
Wall 416 224
Wall 416 320
Player 32 32
Goal 96 32
